Date,WOPR:WP0(bbl/day),WOPR:WP1(bbl/day),WOPR:WP10(bbl/day),WOPR:WP11(bbl/day),WOPR:WP12(bbl/day),WOPR:WP13(bbl/day),WOPR:WP14(bbl/day),WOPR:WP15(bbl/day),WOPR:WP16(bbl/day),WOPR:WP17(bbl/day),WOPR:WP18(bbl/day),WOPR:WP19(bbl/day),WOPR:WP2(bbl/day),WOPR:WP20(bbl/day),WOPR:WP21(bbl/day),WOPR:WP22(bbl/day),WOPR:WP23(bbl/day),WOPR:WP24(bbl/day),WOPR:WP25(bbl/day),WOPR:WP26(bbl/day),WOPR:WP27(bbl/day),WOPR:WP28(bbl/day),WOPR:WP29(bbl/day),WOPR:WP3(bbl/day),WOPR:WP30(bbl/day),WOPR:WP31(bbl/day),WOPR:WP32(bbl/day),WOPR:WP33(bbl/day),WOPR:WP34(bbl/day),WOPR:WP35(bbl/day),WOPR:WP36(bbl/day),WOPR:WP37(bbl/day),WOPR:WP38(bbl/day),WOPR:WP39(bbl/day),WOPR:WP4(bbl/day),WOPR:WP40(bbl/day),WOPR:WP41(bbl/day),WOPR:WP42(bbl/day),WOPR:WP43(bbl/day),WOPR:WP44(bbl/day),WOPR:WP45(bbl/day),WOPR:WP46(bbl/day),WOPR:WP47(bbl/day),WOPR:WP48(bbl/day),WOPR:WP49(bbl/day),WOPR:WP5(bbl/day),WOPR:WP6(bbl/day),WOPR:WP7(bbl/day),WOPR:WP8(bbl/day),WOPR:WP9(bbl/day)
1-Mar-13,8.814006541,0,0,0,0,0,0,2870.442318,0,1352.293453,311.657115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231345797,0,0,0,0,0,0,0,0,0,0,3576.398644,0,0,0,0,0,0,0,0,0,13.38587606,7.059283983
1-Apr-13,8.813019011,0,0,0,0,0,0,2830.387346,0,1329.025359,310.6877631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230887024,0,0,0,0,0,0,0,0,0,0,3493.557142,0,0,0,0,0,0,0,0,0,13.3212916,6.966900866
1-May-13,8.812079914,0,0,0,0,0,0,2787.293676,0,1305.778714,309.7315825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230457587,0,0,0,0,0,0,0,0,0,0,3428.219704,0,0,0,0,0,0,0,0,0,13.28467499,6.863211474
1-Jun-13,8.811238312,0,0,0,0,0,0,2744.731762,0,1284.245717,308.8443905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230075243,0,0,0,0,0,0,0,0,0,0,3372.529931,0,0,0,0,0,0,0,0,0,13.26023834,6.761136096
1-Jul-13,8.810427531,0,0,0,0,0,0,0,0,1271.596967,307.9643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229708108,0,0,0,0,0,0,0,0,0,0,3322.470589,0,0,0,0,0,0,0,0,0,13.24098528,6.661316941
1-Aug-13,8.809668957,0,0,0,0,0,0,0,0,1263.301841,307.1175591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229362623,0,0,0,0,0,0,0,0,0,0,3279.416482,0,0,0,0,0,0,0,0,0,13.22527978,6.571286913
1-Sep-13,8.808960703,0,0,0,0,0,0,0,0,0,306.3266042,0,0,0,0,0,6.592738958,0,0,0,0,0,0,0,0,0,0,0.229043343,0,0,0,0,0,0,0,0,1188.527139,0,3237.345629,0,0,0,0,0,0,0,0,0,13.21224438,6.499373972
1-Oct-13,8.808237353,0,0,0,0,0,0,0,0,0,305.5372595,0,0,0,0,0,6.531229677,0,0,0,0,0,0,0,0,0,0,0.228724264,0,0,0,0,0,0,0,0,1166.619572,0,3200.038255,0,0,0,0,0,0,0,0,0,13.2003676,6.436806084
1-Nov-13,8.807534131,0,0,0,0,0,0,0,0,0,304.7975366,0,0,0,0,0,6.497356769,0,0,0,0,0,0,0,0,0,0,0.228421124,0,0,0,0,0,0,0,0,1152.648916,0,3168.59096,0,0,0,0,0,0,0,0,0,13.18996143,6.38255106
1-Dec-13,8.806800717,0,0,0,0.717781023,0,0,0,0,0,304.0568703,0,0,0,0,0,6.472105564,0,0,0,0,0,0,2006.424582,0,0,0,0.228109265,0,0,0,0,0,0,0,0,1141.057578,0,3139.515434,0,0,0,0,0,0,0,0,0,13.18008487,6.33040067
1-Jan-14,8.806062271,0,0,0,0.715307354,0,0,0,0,0,303.3382881,0,0,0,0,0,6.451781945,0,0,0,0,0,0,1933.105071,0,0,0,0.227794388,0,0,0,0,0,0,0,0,1130.960996,0,3112.851118,0,0,0,0,0,0,0,0,0,13.17089455,6.280917366
1-Feb-14,8.805391757,0,0,0,0.714075018,0,0,0,0,0,302.706055,0,0,0,0,0,6.43603493,0,0,0,0,0,0,1901.04903,0,0,0,0.227504488,0,0,0,0,0,0,0,0,1122.621022,0,3090.222025,0,0,0,0,0,0,0,0,0,13.16305595,6.237912573
1-Mar-14,8.80464765,0,0,0,0.713134474,0,0,0,0,0,302.0253135,0,0,0,0,0,6.420906222,0,0,0,0,0,0,1877.762695,0,0,0,0.227173018,0,0,0,0,0,0,0,0,1114.048192,0,3066.513946,0,0,0,0,0,0,0,0,0,13.15484373,6.191991673
1-Apr-14,8.803929332,0,0,0,0.712440058,0,0,0,0,0,301.3833875,0,0,0,0,0,6.407956999,0,0,0,0,0,0,1860.349836,0,0,0,0.226839226,0,0,0,0,0,0,0,0,1106.159526,0,3044.534673,0,0,0,0,0,0,0,0,0,13.14726931,6.148871018
1-May-14,8.803190886,0,0,0,0.71187226,0,0,0,0,0,300.7369516,0,0,0,0,0,6.396044997,0,0,0,0,0,0,1845.366553,0,0,0,0.226477319,0,0,0,0,0,0,0,0,1098.323507,0,3022.608551,0,0,0,0,0,0,0,0,0,13.1397861,6.105489832
1-Jun-14,8.802480745,0,0,0,0.711423028,0,0,0,0,0,300.1263184,0,0,0,0,0,6.385674674,0,0,0,0,0,0,1832.663143,0,0,0,0.226108706,0,0,0,0,0,0,0,0,1090.960747,0,3001.98427,0,0,0,0,0,0,0,0,0,13.13282433,6.064437958
1-Jul-14,8.801752992,0,0,0,0.711038394,0,447.0467609,0,0,0,299.5102381,0,0,0,0,0,6.376012605,0,0,0,0,0,0,1820.696796,0,0,0,0.225705819,0,0,0,0,0,0,0,0,1083.530999,0,2981.24463,0,0,0,0,0,0,0,0,0,13.12589778,6.022855586
1-Aug-14,8.801031529,0,0,0,0.710714334,0,444.3633652,0,0,0,298.9083354,7.211017653,0,0,0,0,6.367257554,0,0,0,0,0,0,1809.447068,0,0,0,0.225278954,0,0,0,0,0,0,0,0,1076.243594,0,2960.925729,0,0,0,0,0,0,0,0,0,13.11920899,5.981984047
1-Sep-14,8.800340258,0,0,0,0.71044487,0,442.2833817,0,0,0,298.3383734,7.193050268,0,0,0,0,6.359527773,0,0,0,0,0,0,1799.027557,0,0,0,0.224841944,0,0,0,0,0,0,0,0,1069.299874,0,2941.580645,0,0,0,0,0,0,0,0,0,13.11293786,5.943002086
1-Oct-14,8.799633262,0,0,0,0.710202894,0,440.3027865,0,0,0,297.7620773,7.185546927,0,0,0,0,6.352233889,0,0,0,0,0,0,1788.653082,0,0,0,0.224363583,0,0,0,0,0,0,0,0,1062.219787,0,2921.879485,0,0,0,0,0,0,0,0,0,13.10665415,5.903250796
1-Nov-14,8.7989552,0,0,0,0.709995072,0,438.4626973,0,0,0,297.2156272,7.180340694,0,0,0,0,6.345749528,0,0,0,0,0,0,1778.929623,0,0,0,0.223874693,0,0,0,0,0,0,0,0,1055.445394,0,2903.051313,0,0,0,0,0,0,0,0,0,13.10074218,5.865218814
1-Dec-14,8.798262671,0,0,0,0.709801277,0,436.6131605,0,0,0,296.6625035,7.175685465,0,0,0,0,6.339592876,0,0,0,0,0,0,1769.185344,0,0,0,0.223341143,0,0,0,0,0,0,0,0,1048.516519,0,2883.816808,0,0,0,0,0,0,0,0,0,13.09479939,5.826335481
1-Jan-15,8.797575803,0,0,0,0.709622264,0,433.2867569,0,0,0,296.1093357,7.171334672,0,0,0,0,6.333918038,0,0,0,0,154.8495473,0,1759.477609,0,0,0,0.222778773,0,0,0,534.5002728,0,0,0,0,1041.65589,0,2864.791696,0,0,0,0,0,0,0,0,0,13.08900756,5.787823257
1-Feb-15,8.796960641,0,0,0,0.709468599,0,430.5921838,0,0,0,295.599764,7.167527335,5.422370986,0,0,0,6.329147073,0,0,0,0,150.9747815,0,1750.635127,0,0,0,0.222247312,0,0,0,529.6329513,0,0,0,0,1035.506912,0,2847.757936,0,0,0,0,0,0,0,0,0,13.08389379,5.753327073
1-Mar-15,8.796285095,0,0,0,0.709303172,0,427.9334071,0,0,0,295.0154544,7.163381596,5.40645477,0,0,0,6.324254082,0,0,0,0,148.5537039,0,1740.751336,0,0,0,0.221630138,0,0,0,525.6152767,0,0,0,0,1028.761956,0,2829.088713,0,0,0,0,0,0,0,0,0,13.07836614,5.715466871
1-Apr-15,8.795632193,0,0,0,0.709142148,0,425.5376593,0,0,0,294.429629,7.159393736,5.399018732,0,0,0,6.319848566,0,1405.446092,0,0,146.8638262,0,1731.145311,0,0,0,0.221006019,0,0,0,522.2227464,0,0,0,0,1022.289798,0,2811.187373,0,0,0,0,0,0,0,0,0,13.07313223,5.679122056
1-May-15,8.794957276,0,0,0,0.708964959,0,423.1711349,0,0,0,293.8051012,7.155271899,5.394060137,0,0,0,6.315610993,0,1384.253383,0,0,145.4858948,0,1721.2368,0,0,0,0.220333077,0,0,0,518.995448,0,0,0,0,1015.647181,0,2792.827932,0,0,0,0,0,0,0,0,0,13.06783982,5.641877016
1-Jun-15,8.794299342,0,0,0,0.708770409,24.5296747,420.9396002,0,0,0,293.1768811,7.151267056,5.390474837,0,0,0,6.311778496,0,1370.772089,0,0,144.3542231,0,1711.701348,0,0,0,0.219655983,0,0,0,516.0312729,0,0,0,0,1009.263334,0,2775.204107,0,0,0,0,0,0,0,0,0,13.06282229,5.606116291
1-Jul-15,8.793612474,0,0,0,0.708525917,24.3330059,418.6691051,0,0,0,292.5019641,7.147098673,5.387529922,0,0,0,6.308078089,0,1358.965948,0,0,143.3290726,0,1701.92738,0,0,0,0.218929426,0,0,0,513.0777468,0,0,0,0,1002.712991,0,2757.130924,0,0,0,0,0,0,0,0,0,13.05774123,5.569549879
1-Aug-15,8.792917429,0,0,0,0.708217266,24.2056422,416.418713,0,0,0,291.8068185,7.142894437,5.385085816,0,0,0,6.304612928,0,1348.232943,0,0,142.4100345,0,1692.24556,0,0,0,0.218176739,0,0,0,510.1969268,0,0,0,0,996.2086275,0,2739.194989,0,0,0,0,0,0,0,0,0,13.0527564,5.533498995
1-Sep-15,8.792236222,0,0,0,0.707839866,24.10305671,414.2520596,0,0,0,291.1213972,7.138786438,5.383056033,0,0,0,6.30146038,0,1338.514013,0,0,141.5991528,0,1682.966175,0,0,0,0.217424637,0,0,0,507.4561851,0,0,0,0,989.9568078,0,2721.961962,0,0,0,0,0,0,19.81721047,0,0,13.04802066,5.498969852
1-Oct-15,8.79152042,0,0,0,0.707347234,24.0080972,412.0208645,0,0,0,290.4059034,7.134494142,5.381225706,0,0,0,6.298399037,0,1328.952458,0,0,140.8299676,0,1673.471483,0,0,0,0.216623077,0,0,0,504.6596322,0,0,0,0,983.5411336,0,2704.291716,0,0,0,0,0,0,19.66317529,0,0,13.04321258,0
1-Nov-15,8.790819714,0,0,0,0.706760565,23.92275763,409.8669295,0,0,0,289.7111477,7.130294938,5.379648489,0,0,0,6.29561697,0,1320.055693,0,0,140.1395394,0,1664.367274,0,0,0,0.21582538,0,0,0,501.9779159,0,0,0,0,977.3735999,0,2687.313056,0,0,0,0,0,0,19.52989396,0,0,13.03863912,0
1-Dec-15,8.790085042,0,0,0,0.706025579,23.83957364,407.646245,0,0,0,288.9941695,7.125905776,5.378181787,0,0,0,6.292917302,0,1311.161822,0,0,139.4749506,0,1655.042412,0,0,0,0.214978632,0,0,0,499.2270473,0,0,0,0,971.0417085,0,2669.885039,0,0,0,0,0,0,19.39685984,0,0,13.03399144,0
1-Jan-16,8.789340935,0,0,0,0.705154351,23.76025674,405.4303597,0,0,0,288.2806697,7.121463778,5.376846734,0,0,0,6.290360417,0,1302.513261,0,0,138.8523161,0,1645.795357,0,0,0,0.214110405,0,0,0,496.4924006,0,0,0,0,964.7488151,0,2652.563134,0,0,0,0,0,0,19.26611401,0,0,13.0294205,0
1-Feb-16,8.788638342,0,0,0,0.70421626,23.68884637,403.0221326,0,0,0,287.618037,7.1172608,5.37569428,0,0,0,6.288087966,0,1294.594968,0,0,138.3023877,0,1637.05622,0,510.6204765,0,0.213280068,0,0,0,493.7791588,0,0,0,0,958.8932025,0,2636.445575,0,0,0,0,0,0,19.1451831,0,0,13.0252062,0
1-Mar-16,8.787880397,0,0,0,0.703072046,23.6152106,400.3104004,0,0,0,286.9161045,7.112713759,5.374552645,0,0,0,6.285784128,0,1286.283488,0,0,137.7465341,0,1627.488753,0,504.5298695,0,0.212372962,0,0,0,490.7179479,0,0,0,0,0,0,2629.999142,0,0,0,0,0,0,19.01757913,0,0,13.02077049,0
1-Apr-16,8.787140693,0,0,0,0.701833923,23.54615457,397.678765,0,0,0,286.2435903,7.108262326,5.373520142,0,0,0,6.283664335,0,1278.350666,0,0,137.2349873,0,1618.006703,0,500.3997549,0,0,0,0,0,487.6733866,0,0,0,0,0,0,2623.817582,0,0,0,0,0,0,18.89600097,0,0,13.01653984,0
1-May-16,8.786371426,0,0,0,0.700417792,23.47688532,394.988142,0,0,0,285.5566971,7.103606468,5.372518396,0,0,0,6.281581338,0,1270.243674,0,0,136.7316866,0,1608.014975,0,496.6367058,0,0,0,0,0,484.4936406,0,0,0,0,0,0,2616.028235,0,0,0,0,0,0,18.77276981,0,0,13.01223119,0
1-Jun-16,8.785622287,0,0,0,0.698924169,23.41161336,386.2049747,0,0,0,284.8998009,7.099048734,5.371602069,0,0,0,6.279659114,0,0,0,0,136.2659687,0,1597.86518,0,491.4788555,0,0,1693.574449,0,0,479.019548,0,0,0,0,0,0,2607.475847,0,0,0,0,0,0,18.65589909,0,0,13.00811816,0
1-Jul-16,0,0,0,0,0.697260149,23.34588475,379.8460867,0,0,0,284.2292052,7.094280914,5.370704549,0,0,0,6.277781549,0,0,0,0,135.8048174,0,1586.619981,0,485.7687557,0,0,1661.577722,0,0,473.0198315,0,0,0,0,0,0,2597.920708,0,0,0,0,0,0,18.53770999,0,0,13.00392461,0
1-Aug-16,0,0,0,0,0.695490898,23.28173115,374.7539857,0,0,0,283.5671512,7.089457742,5.369851625,0,0,0,6.276020223,0,0,0,0,135.3618819,0,1574.592494,0,480.2316058,0,0,1638.470904,0,0,467.2985481,0,13.69533399,0,0,0,0,2587.881428,0,0,0,0,0,0,18.42197399,0,0,12.99978894,0
1-Sep-16,0,0,0,0,0.693697934,23.2210163,370.402765,0,0,0,282.9344653,7.08473521,5.369065061,0,0,0,6.274424576,0,0,0,0,134.9488427,0,1562.347751,0,475.1362404,0,0,1619.225642,0,0,462.0721305,0,13.52795898,0,0,0,0,2577.850199,0,0,0,0,0,0,18.31213235,0,0,12.99583567,0
1-Oct-16,0,0,0,0,0.691780175,23.15963973,366.2722163,0,0,0,282.2889666,7.079798189,5.368292711,0,0,0,6.272884847,0,0,0,0,134.5371245,0,1549.178944,0,470.1369987,0,0,1601.201459,0,0,456.9578573,0,13.44010215,0,0,0,0,2567.241988,0,0,0,0,0,0,18.20079809,0,0,12.99180316,0
1-Nov-16,0,39.39379636,0,0,0.689882042,23.10143836,362.5113247,0,0,0,281.6721441,7.074964953,5.367582256,0,0,0,6.271489033,0,0,0,0,134.1519249,0,1536.099456,0,465.5123076,0,0,1584.934387,0,0,452.2298971,0,13.38406894,0,0,0,0,2556.688815,0,0,0,0,676.0684474,0,18.04352922,0,0,12.98794613,0
1-Dec-16,0,39.19069226,0,0,0.687894465,23.04249918,358.8173587,0,0,0,281.0426471,7.069910938,5.366885324,0,0,0,6.270136746,0,0,0,0,133.7665303,0,1522.360523,0,460.9281179,0,0,1569.059873,0,0,447.5449793,0,13.34083211,0,0,0,0,2545.414682,0,0,0,0,667.2176626,0,17.86466867,0,0,12.98400922,0
1-Jan-17,0,39.07448703,0,0,0.685895314,22.98469533,355.2756358,0,0,0,280.4209498,7.06479591,5.366223239,0,0,0,6.268865034,0,0,0,0,133.3930553,0,1508.499439,0,456.5089212,0,0,1553.909465,0,0,443.0296587,0,13.30567164,0,0,0,0,2533.763023,0,0,0,0,660.0618441,0,17.68726425,0,0,12.98011759,0
1-Feb-17,0,38.99782514,0,0,0.684088512,22.93336202,352.1810187,0,0,0,279.8657693,7.060124956,5.365651478,0,0,0,6.267775543,0,0,0,0,133.0647236,0,1495.947744,0,452.6344887,0,0,1540.713233,0,0,439.072538,0,13.2780491,0,0,0,0,2522.956677,0,0,0,0,654.2000673,0,17.53210694,0,0,12.97664048,0
1-Mar-17,0,38.93108446,0,0,0.682094393,22.8775521,348.8640564,0,0,0,279.2584698,7.054889789,5.365045247,0,0,0,6.266634285,0,0,0,0,132.7112507,0,1482.077979,0,448.4711629,0,0,1526.626527,0,0,434.8225988,0,13.25075994,0,0,0,0,2510.701996,0,0,0,0,648.1271981,0,17.36732529,0,0,12.97283377,0
1-Apr-17,0,38.87714771,0,0,0.680174622,22.82445444,345.7431408,0,0,0,278.6773744,7.049763439,5.364479462,0,0,0,6.265583793,0,0,0,9.370701104,132.3781386,0,1468.720472,0,444.5473036,0,0,1513.437844,0,0,430.8194604,0,13.22648557,0,0,0,0,2498.61249,0,0,0,0,642.5450118,0,17.21435186,0,0,12.96918872,0
1-May-17,0,38.8291286,0,0,0.678203273,22.7705114,342.6022922,0,0,0,278.0837997,7.044398698,5.363911852,0,0,0,6.264550912,0,0,0,9.276644218,132.0427432,0,1455.029847,0,440.6122608,0,0,1500.195318,0,0,426.7884384,0,13.20302639,0,0,0,0,2485.920591,0,0,0,0,637.0144035,0,17.06293458,0,0,0,0
1-Jun-17,0,38.78792469,0,0,0.676306776,22.71913657,339.6336323,0,0,0,277.5156114,7.039146548,5.363373114,0,0,0,6.263595586,0,0,0,9.233956504,131.7259537,0,1441.90897,0,436.8886625,0,0,1487.692119,0,0,422.9774973,0,13.18145672,0,0,0,0,2473.483751,0,0,0,0,631.8483636,0,16.92179515,0,0,0,0
1-Jul-17,0,38.74959029,0,0,0.674357316,22.66689434,336.635139,0,0,0,276.9350381,7.033650975,5.362822739,0,0,0,6.262651206,0,0,0,9.206183638,131.4063651,0,1428.509131,0,433.123261,0,0,1475.067271,0,0,419.1411696,0,13.16008393,0,0,0,0,2460.498361,0,0,0,0,626.6858335,0,16.7808438,0,0,0,0
1-Aug-17,0,38.71457071,0,0,0.672415153,22.61545787,331.0565066,0,0,0,276.3608743,7.028088099,5.362274628,0,0,0,6.26174576,120.6842612,0,0,9.186026075,131.094098,0,1413.244434,0,428.0802535,0,0,1456.505167,0,0,411.9039648,0,13.13942128,0,0,0,1525.612453,2444.347025,698.5910504,0,0,0,620.9564361,512.6785268,16.63942825,0,0,0,0
1-Sep-17,0,38.68317984,0,0,0.670539286,22.56640593,326.1037606,0,0,0,275.8110214,7.022640959,5.361742243,0,0,0,6.260902963,118.5366414,0,0,9.170680362,130.79838,0,1396.776207,0,422.8112651,0,0,1438.118553,0,0,405.3054907,0,13.11995436,0,0,0,1496.226391,2427.253384,685.4375282,0,0,0,615.0331179,501.5093486,16.49832279,0,0,0,0
1-Oct-17,0,38.65292557,0,0,0.668601148,22.51646459,321.4783776,0,0,0,275.2488275,7.016945364,5.361187402,0,0,0,6.260064695,116.7655661,0,0,9.157690883,130.4993093,0,1378.763597,0,417.4212509,0,0,1419.870257,0,0,399.1435991,1490.368325,13.10029245,0,0,0,1472.443523,2388.075993,674.8708314,0,0,0,608.5894155,493.5005307,16.34461595,0,0,0,0
1-Nov-17,0,38.62535901,0,0,0.666722074,22.468804,317.2978235,0,0,0,274.7102022,7.011371166,5.36064338,0,0,0,6.259281464,115.1576597,0,0,9.146994738,130.2155674,0,1360.946606,0,412.3680159,0,0,1402.912542,0,0,393.6058516,1461.262797,0,0,0,0,1451.652369,2353.406708,665.1113303,0.14864167,0,0,602.1068786,486.8291176,16.18754081,0,0,0,0
1-Dec-17,0,38.59841643,0,0,0.664772425,22.42025275,313.487939,0,1941.703124,0,274.1593618,7.005545368,5.360071619,0,0,0,6.258499806,113.578681,0,0,9.137392424,129.9281836,0,1342.614024,1.139608047,0,0,0,1387.531039,0,0,388.3530349,1432.894834,0,0,0,0,1432.738968,2307.685579,655.02802,0.14684739,0,0,595.202094,480.4147329,16.01702017,0,0,0,0
1-Jan-18,0,38.57278719,0,0,0.662810826,22.37239403,309.5141686,0,1869.982594,0,273.6142075,6.999653525,5.359488661,0,0,0,6.257743245,111.9489042,0,0,9.128875764,129.646335,1015.718069,1320.206276,1.137304083,0,0,0,1372.067389,0,0,382.6071765,1405.119515,0,0,0,0,1408.619585,2261.355766,644.8219918,0.145856646,0,0,588.1424999,474.2270901,15.8397252,0,0,0,0
1-Feb-18,0,38.55057154,0,0,0.661026416,22.32968996,305.8257692,0,1825.418573,0,273.1263047,6.994281236,5.358951747,0,0,0,6.257078895,110.4185787,0,0,9.121879397,129.3959993,991.9527506,1299.167673,1.136299633,0,0,0,1357.695179,0,0,377.3578633,1381.077877,0,0,0,0,1387.301769,2221.472763,635.555438,0.145254932,0,0,581.6692282,468.7358634,15.67513036,0,0,0,0
1-Mar-18,0,38.52696706,0,0,0.659031542,22.28304521,301.7478175,0,1784.956827,0,272.591661,6.988271141,5.35834363,0,0,0,6.256365043,108.6900049,0,0,9.114803147,129.123831,972.9297778,1276.350949,1.135522504,0,0,0,1341.535603,0,0,371.7130034,1355.802707,0,0,0,0,1365.161786,2179.87737,625.3439186,0.144772665,0,0,574.4128263,462.7171952,15.4886369,0,0,0,0
1-Apr-18,0,38.50493696,0,0,0.657079504,22.23846609,297.860478,0,1750.070411,0,272.0793783,6.982400055,5.357742306,0,0,0,6.255692453,107.0197017,0,0,9.108460311,128.8648969,956.5638897,1255.043952,1.134882433,0,0,0,1325.880108,0,0,366.4459147,1332.436552,0,0,0,0,1344.854836,2141.609262,615.5773161,0.144409015,0,0,567.3299529,456.9234007,15.30511042,0,0,0,0
1-May-18,0,38.48294021,0,0,0.655036197,22.1929787,0,0,1716.783417,0,271.5553898,6.976275482,5.357105695,0,0,0,6.255016089,105.333013,0,0,9.102344544,128.6018679,941.240003,1233.98868,1.134279222,0,0,0,1314.566914,0,0,362.241056,1309.26545,0,0,0,0,1327.098166,2103.761766,605.6526837,0.144104749,0,0,559.9704768,450.9577068,15.11313585,0,0,0,0
